index;Datum;DPS 2021;prediction;Echter Wert
0;2021-11-29;65000;57780;58307
1;2021-11-30;65000;64582;71510
2;2021-12-01;75000;66809;74488
3;2021-12-02;100000;76086;82411
4;2021-12-03;85000;65048;63107
5;2021-12-04;35000;36221;34918
6;2021-12-06;65000;58920;57592
7;2021-12-07;67500;72386;86951
8;2021-12-08;78000;68162;84102
9;2021-12-09;100000;78258;76021
10;2021-12-10;87500;67314;63343
11;2021-12-11;35000;35571;28919
12;2021-12-13;72000;52299;48722
13;2021-12-14;75000;65921;81210
14;2021-12-15;75000;68399;69328
15;2021-12-16;100000;70637;59388
16;2021-12-17;87500;67408;71186
17;2021-12-18;40000;35560;32203
18;2021-12-20;75000;67955;77557
19;2021-12-21;75000;79148;84437
20;2021-12-22;85000;76588;95392
21;2021-12-23;90000;71821;63733
22;2021-12-27;65000;63185;64125